study,phase,mechanism,attempt_id,pair_index,arm,offered,correct,accuracy,symbolic_answer_preserved,full_wall_s,service_s,end_to_end_p95_s,ttft_p95_s,prompt_tokens,generated_tokens,slo_qualified,slo_qualified_fraction,goodput_per_second,service_envelope_s,ttft_slo_s,end_to_end_slo_s,quality_pass,eligible,status
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,8,2,0.25,8,93.352388077,75.948474005,75.944786354,75.319714989,864,21,0,0.0,0.0,75.948474005,15.0,30.0,False,False,COMPLETED
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,8,1,0.125,8,139.698570032,122.097138068,122.084845087,120.205026607,1184,54,0,0.0,0.0,122.097138068,15.0,30.0,False,False,COMPLETED
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-cc3ebd7fc6654be7a2ace9632c7238f7,0,baseline,8,1,0.125,8,138.180478324,120.936694016,120.929132076,119.029441922,1184,54,0,0.0,0.0,120.936694016,15.0,30.0,False,False,COMPLETED
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-e1654646befe488b9c24685b6c55cda6,0,candidate,8,2,0.25,8,93.112162726,75.923943228,75.915381058,75.267481633,864,21,0,0.0,0.0,75.923943228,15.0,30.0,False,False,COMPLETED
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-08bf3387a127497eb05a8a0882bc4a60,0,baseline,8,1,0.125,8,10.190968666,8.805678714,8.797071571,8.728806168,1184,36,1,0.125,0.11356308042560272,8.805678714,15.0,30.0,False,False,COMPLETED
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-3646b50a4e7f416295b4b8ef93b20ac8,0,candidate,8,0,0.0,8,15.411522119,13.954027254,13.94964937,13.857578087,1664,51,0,0.0,0.0,13.954027254,15.0,30.0,False,False,COMPLETED
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-d06d629c537749539419e33e8fb89e5e,1,candidate,8,0,0.0,8,14.398157779,12.962376982,12.953709827,12.852802465,1664,51,0,0.0,0.0,12.962376982,15.0,30.0,False,False,COMPLETED
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,attempt-e76b70a0126a44b8a024f61f464a32f4,1,baseline,8,1,0.125,8,10.117220512,8.649706788,8.637131713,8.570486273,1184,36,1,0.125,0.11561085531677563,8.649706788,15.0,30.0,False,False,COMPLETED
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-22e527c470fb490290ad3aaf0f698a98,1,candidate,32,10,0.3125,32,34.482657626,32.82181347,31.455476288,31.39962521,3368,134,4,0.125,0.1218701703870234,32.82181347,15.0,30.0,False,False,COMPLETED
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,attempt-48d84052cbc74051bd6de656585a31fc,0,baseline,32,4,0.125,32,66.367471473,64.874840712,62.618218233,62.554254268,8897,140,0,0.0,0.0,64.874840712,15.0,30.0,False,False,COMPLETED
