study,attempt_id,concurrency,pair_index,arm,status,observed,offered,correct,accuracy,service_s,full_attempt_s,throughput_requests_s,output_tokens_s,server_hwm_bytes,load_averages,newly_evaluated_input_tokens,reused_input_tokens,generated_tokens,eligible,ineligibility,slo_qualified,sampled_server_plus_coordinator_peak_bytes,cpu_time_s,cache_preparation_s,compilation_s,evaluation_s,load_s,recovery_s,reporting_s,startup_s,verification_s,warmup_s,admission_to_dispatch_p50_s,admission_to_dispatch_p95_s,admission_to_dispatch_p99_s,client_chunk_gap_p50_s,client_chunk_gap_p95_s,client_chunk_gap_p99_s,client_end_to_end_p50_s,client_end_to_end_p95_s,client_end_to_end_p99_s,client_queue_p50_s,client_queue_p95_s,client_queue_p99_s,client_ttft_p50_s,client_ttft_p95_s,client_ttft_p99_s,dispatch_to_completion_p50_s,dispatch_to_completion_p95_s,dispatch_to_completion_p99_s
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,COMPLETED,128,128,128,1.0,709.64430647,728.301245691,0.18037205235495138,0.7228973660788286,30063726592,"[13.17, 13.82, 13.72, 13.01, 13.96, 13.93]",9538,12740,513,True,[],3,30138572800,,0.527128113,0.0,0.0,2.306424231,0.74880746,0.0,0.0,14.79141618,0.0,0.001731362,0.005619208,0.009146882,0.661850166,0.754250148,1.062262036,353.365080945,670.946198748,701.260678035,345.321449045,666.084152419,695.23534697,351.360059833,668.883851414,699.116338537,5.290128924,8.412338768,8.760827917
14b,attempt-71dd4c560fa14c84a56659b393046b86,4,2,candidate,COMPLETED,128,128,128,1.0,270.336179355,289.104072768,0.4734845343505169,1.897637235326681,31327334400,"[14.74, 15.86, 17.03, 17.13, 16.02, 16.7]",2063,20215,513,True,[],0,31425265664,,0.619129586,0.0,0.0,2.509148008,0.686040032,0.0,0.0,14.246930695,0.0,0.002927107,0.008698454,0.023202972,1.357622493,2.483536826,3.33565193,150.941305644,257.30863582,269.431895184,146.135511574,251.666881833,264.54813093,149.492275636,255.174166067,265.323460015,7.378896824,9.937840483,32.8199394
14b,attempt-357c80e6e5e94281b84b212643a7408d,4,0,baseline,COMPLETED,128,128,128,1.0,1111.404133048,1130.494161354,0.11516962749541247,0.4615782726964578,31321993216,"[15.94, 15.13, 14.89, 14.37, 14.43, 14.76]",22278,0,513,True,[],0,31418990592,,0.639899808,0.0,0.0,2.650524823,0.809431637,0.0,0.0,14.486096777,0.0,0.002369379,0.007751734,0.01430619,3.869170025,17.0023222,20.912690654,567.0757528,1062.262750632,1110.325158379,541.913964451,1027.673899382,1095.417055151,548.846856034,1059.51556668,1098.808328813,34.341128879,43.393627449,48.081628752
14b,attempt-50443973acdc475ab42accaf1b0f48ea,1,2,baseline,COMPLETED,128,128,128,1.0,1229.772845525,1248.293882597,0.10408426276915861,0.41715020937951847,30117191680,"[13.22, 13.24, 13.28, 13.17, 13.82, 13.72]",22278,0,513,True,[],2,30189481984,,0.540709813,0.0,0.0,2.265836624,0.727187166,0.0,0.0,14.735661059,0.0,0.003170971,0.005620392,0.012715244,0.641977053,0.741420034,1.250570016,616.208548661,1165.486911038,1214.210682035,601.019412958,1158.496861181,1204.594074952,614.209937559,1163.609551669,1212.283297551,8.775923303,15.633978092,16.151299813
14b,attempt-59cd557c468f4441b94dcc2f5a19b3d8,4,1,candidate,COMPLETED,128,128,128,1.0,334.552904782,355.285925059,0.3826001752500306,1.5333897648692631,31324131328,"[25.94, 20.39, 17.01, 33.04, 27.12, 20.76]",2063,20215,513,True,[],0,31419891712,,0.608689342,0.0,0.0,3.912811844,0.856949132,0.0,0.0,14.708611011,0.0,0.002790211,0.014416384,0.020310792,1.432340107,3.705428211,5.118929675,165.64660691,319.565958212,333.558589677,160.024547225,310.508867483,328.693592477,164.171879224,315.522245524,329.477469646,9.056756133,15.621592779,34.403638608
14b,attempt-af146de3b73d4fd0ac7d5446b42940ad,1,1,candidate,COMPLETED,128,128,128,1.0,704.231812287,723.056493534,0.18175833264947047,0.728453317571706,30073810944,"[12.97, 12.9, 12.06, 14.53, 14.9, 13.8]",9538,12740,513,True,[],3,30140182528,,0.776752201,0.0,0.0,3.177191665,0.744450609,0.0,0.0,14.002499279,0.0,0.003152608,0.006430458,0.008904212,0.64877072,0.742974878,1.412377951,351.978585486,668.556170847,695.736235038,343.452488628,663.651007267,690.342187953,350.067323396,666.449536175,693.742160265,5.242634642,8.194918366,8.989812615
14b,attempt-ec5f35cf66cb410b9d97fbf8c2084c66,1,0,baseline,COMPLETED,128,128,128,1.0,1212.646889737,1230.953130641,0.10555422281894505,0.4230415336415532,30116147200,"[1.18, 2.92, 3.78, 13.07, 13.4, 11.09]",22278,0,513,True,[],2,30177210368,,0.593295125,0.0,0.0,2.382914715,0.716866288,0.0,0.0,14.592700473,0.0,0.003182327,0.006012278,0.010320609,0.641106834,0.683770003,0.938749918,604.290252612,1148.648622764,1197.199724339,588.947814575,1141.664305354,1187.590896228,602.327603224,1146.779524247,1195.275596081,8.067291586,15.703497707,16.629460779
14b,attempt-988cad0681ac478ba6d32525882a287b,1,1,baseline,COMPLETED,128,128,128,1.0,1204.999836652,1224.257154639,0.10622408078961922,0.42572619878964574,30113869824,"[14.53, 14.9, 13.8, 13.22, 13.24, 13.28]",22278,0,513,True,[],2,30183800832,,0.580283984,0.0,0.0,2.455485148,0.703178151,0.0,0.0,15.293078278,0.0,0.003174651,0.005628844,0.008757065,0.638993278,0.704553761,1.25497671,603.048823886,1141.359107304,1189.872104436,588.063738732,1134.389644404,1179.989654284,601.131116167,1139.4374786,1187.852414635,8.105566076,15.279421505,15.717902645
14b,attempt-c303d6408a1d419ab96362e13ee6dd09,1,3,baseline,COMPLETED,128,128,128,1.0,1229.811735631,1248.083525949,0.10408097133202661,0.4171370179166379,30113853440,"[15.64, 15.21, 14.65, 15.94, 15.13, 14.89]",22278,0,513,True,[],2,30194589696,,0.672110069,0.0,0.0,2.344843646,0.698838078,0.0,0.0,14.164023018,0.0,0.001980595,0.00530481,0.008466804,0.650083196,0.712011467,0.832032154,612.417447567,1161.932238366,1213.650125895,597.278592211,1154.646551553,1203.661411397,610.481320536,1159.907434015,1211.646520562,8.699118252,15.728047697,16.037890534
14b,attempt-9b041326da4d407b9d9e5b72315860aa,4,1,baseline,COMPLETED,128,128,128,1.0,1169.717927999,1189.687068263,0.1094280911116457,0.4385672714083925,31323672576,"[33.04, 27.12, 20.76, 18.83, 17.26, 18.3]",22278,0,513,True,[],0,31426576384,,0.673630597,0.0,0.0,2.936789946,0.758355401,0.0,0.0,14.928216232,0.0,0.002157314,0.006455311,0.011300806,3.969268371,15.811123127,22.859276995,608.75458008,1130.924423076,1169.693628376,583.176447578,1090.440439595,1153.935578468,606.677648609,1111.724143145,1165.721430174,36.048887462,43.727599941,52.185468641
