study,kind,record_index,phase,status,clock_boot_id,start_ns,finish_ns,duration_s,bytes_acquired,details
legacy-comparison,inherited_or_current_setup,0,source-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262764393603051,262768334950432,3.941347381,203559997,source-acquisition; retained local logs and artifacts
legacy-protocol-failure,inherited_or_current_setup,0,source-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262764393603051,262768334950432,3.941347381,203559997,source-acquisition; retained local logs and artifacts
legacy-comparison,inherited_or_current_setup,1,model-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262768395958038,262811996753960,43.600795922,1266425774,model-acquisition; retained local logs and artifacts
legacy-protocol-failure,inherited_or_current_setup,1,model-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262768395958038,262811996753960,43.600795922,1266425774,model-acquisition; retained local logs and artifacts
legacy-comparison,inherited_or_current_setup,2,build,FAILED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262812057781123,262829398167912,17.340386789,12121092,build; retained local logs and artifacts
legacy-protocol-failure,inherited_or_current_setup,2,build,FAILED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262812057781123,262829398167912,17.340386789,12121092,build; retained local logs and artifacts
legacy-comparison,inherited_or_current_setup,3,build,FAILED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262995593248208,263121629656133,126.036407925,56535198,GCC8 link configuration recovery; source unchanged; original failed build and all costs retained
legacy-protocol-failure,inherited_or_current_setup,3,build,FAILED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,262995593248208,263121629656133,126.036407925,56535198,GCC8 link configuration recovery; source unchanged; original failed build and all costs retained
legacy-comparison,inherited_or_current_setup,4,build,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263424104976025,263441225141148,17.120165123,29561368,GCC8 link configuration recovery; reviewed CTAD patch on pinned source; both original failed builds and all costs retained
legacy-protocol-failure,inherited_or_current_setup,4,build,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263424104976025,263441225141148,17.120165123,29561368,GCC8 link configuration recovery; reviewed CTAD patch on pinned source; both original failed builds and all costs retained
legacy-comparison,inherited_or_current_setup,5,runtime-verification,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263534754333486,263535450688659,0.696355173,0,local binary version and model/backend SHA-256 verification
legacy-protocol-failure,inherited_or_current_setup,5,runtime-verification,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263534754333486,263535450688659,0.696355173,0,local binary version and model/backend SHA-256 verification
legacy-comparison,inherited_or_current_setup,6,runtime-protocol-validation,FAILED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263535490720577,263574302386372,38.811665795,0,"{""attempt_id"": ""attempt-79ef9215fce64bbb86824cbcd11c9d16"", ""attempt_sha256"": ""06d37917391d75f04de4862276c1c7f7c9c4051bee3d68b4495abed167427cb8"", ""expected_requests"": 128, ""missing_requests"": 98, ""observed_requests"": 30, ""prior_study"": ""cpu-20260908-01"", ""scope"": ""original immutable failed client-normalization attempt; no candidate arm measured; not deleted or relabeled; positive efficiency claim remains ineligible for this allocation"", ""status"": ""INTERRUPTED""}"
legacy-protocol-failure,native_attempt,attempt-79ef9215fce64bbb86824cbcd11c9d16,attempt,INTERRUPTED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263535490720577,263574302386372,38.811665795,,baseline
legacy-comparison,inherited_or_current_setup,7,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263574302386372,263574365322166,0.062935794,0,"raw evidence hashing, immutable attempt publication and inventory reconciliation"
legacy-protocol-failure,inherited_or_current_setup,6,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263574302386372,263574365322166,0.062935794,0,"raw evidence hashing, immutable attempt publication and inventory reconciliation"
legacy-comparison,inherited_or_current_setup,8,runtime-verification,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263880763309395,263881453678212,0.690368817,0,local binary version and model/backend SHA-256 verification
legacy-comparison,native_attempt,attempt-c82e85b5a55f4d2ea23a96d3b643ba55,attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,263881513488207,264042523303524,161.009815317,,baseline
legacy-comparison,inherited_or_current_setup,9,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,264042523303524,264042618949609,0.095646085,0,"raw evidence hashing, immutable attempt publication and inventory reconciliation"
legacy-comparison,native_attempt,attempt-7e8d30b9fe014d74a2983459225b1145,attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,264042673448624,264123176203496,80.502754872,,candidate
legacy-comparison,inherited_or_current_setup,10,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,264123176203496,264123322725843,0.146522347,0,"raw evidence hashing, immutable attempt publication and inventory reconciliation"
legacy-comparison,native_attempt,attempt-c8478af2e19a441baa00086d2455f5f3,attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,264123421035458,264203869165932,80.448130474,,candidate
legacy-comparison,inherited_or_current_setup,11,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,264203869165932,264204058827182,0.18966125,0,"raw evidence hashing, immutable attempt publication and inventory reconciliation"
