study,concurrency,pair_index,order,eligible,baseline_attempt_id,candidate_attempt_id,correct_correct,correct_wrong,wrong_correct,wrong_wrong,token_mismatches,token_mismatch_ids,service_throughput_ratio,full_attempt_efficiency_ratio,e2e_p95_ratio,e2e_p99_ratio,ttft_p95_ratio,ttft_p99_ratio
14b,1,0,AB,True,attempt-ec5f35cf66cb410b9d97fbf8c2084c66,attempt-5c026fdd420f41658ecb853f15b5cbe5,128,0,0,0,0,[],1.772203306515513,1.749831726043317,0.5638966892289389,0.5642507967106072,0.5631388909494557,0.5635477665055186
14b,1,1,BA,True,attempt-988cad0681ac478ba6d32525882a287b,attempt-af146de3b73d4fd0ac7d5446b42940ad,128,0,0,0,0,[],1.7110840715058733,1.6931694350123865,0.585754445352606,0.5847151407653004,0.5848934660231212,0.584030601544192
14b,1,2,AB,True,attempt-50443973acdc475ab42accaf1b0f48ea,attempt-d13e813736b24df7bb5b01a7508de0eb,128,0,0,0,0,[],1.7329425943572878,1.7139801558524588,0.5756788792681038,0.5775444808801196,0.5748353048963889,0.5766938635130281
14b,1,3,BA,True,attempt-c303d6408a1d419ab96362e13ee6dd09,attempt-51f395ff6dca4ef5a6eaf7c28f294cc8,128,0,0,0,0,[],1.7477878098101267,1.7268375136441125,0.5739861234480362,0.5732643344571224,0.573208405365218,0.5726084699679524
14b,4,0,AB,True,attempt-357c80e6e5e94281b84b212643a7408d,attempt-34d417c369374b8f9b3b312c74b38a83,128,0,0,0,0,[],3.530639389220813,3.3875093167621113,0.28104161688375284,0.28349495824317383,0.27688061810384124,0.2804370039639932
14b,4,1,BA,True,attempt-9b041326da4d407b9d9e5b72315860aa,attempt-59cd557c468f4441b94dcc2f5a19b3d8,128,0,0,0,0,[],3.4963615956681258,3.3485341927503502,0.28257056943099074,0.2851674845319214,0.28381343291817585,0.2826382539753266
14b,4,2,AB,True,attempt-7c9be96cd8f44a358d194e6953ac5695,attempt-71dd4c560fa14c84a56659b393046b86,128,0,0,0,0,[],4.182644676350039,3.980309445897816,0.2335121289908523,0.23842429190359232,0.23654438170294045,0.23622007701296616
14b,4,3,BA,True,attempt-236e9d95e84d429099b3c0f21140f7f0,attempt-b5455be84a2b4eed9da360cbcbbd9827,128,0,0,0,0,[],4.183449356395581,3.9718432292461645,0.23326680532453833,0.2386569508279994,0.23667862390807448,0.23734667776996862
confirmation-14b,4,0,AB,True,attempt-c11d044ecdb642b3b22ced85ff8e0c18,attempt-033f9d36d8aa4b3cbe5aa44db0bfb48f,127,0,0,1,0,[],4.194850354481589,3.9776195499625535,0.2377500733631925,0.24057678436331445,0.2372142204544548,0.23716775328391823
confirmation-14b,4,1,BA,True,attempt-09705c8591f64372be44520df2ee1d34,attempt-da272db19c274606b494cda494c0971b,127,0,0,1,0,[],4.051410457991983,3.8457225667325723,0.24575326137498688,0.24505405988676351,0.24478284919321908,0.24298268086802466
development,1,0,AB,False,attempt-95b5419029c448338f1073c7165f594a,attempt-cdfa74b562fa44cea228a4ecb7b7dc97,6,0,0,2,0,[],,,,,,
development,1,1,BA,False,attempt-8491a78c65ed49c4bcd802b881f8f339,attempt-a80e37f0d3f84a1389dfec4fd0cf9dd5,6,0,0,2,0,[],,,,,,
legacy-comparison,1,0,AB,False,attempt-c82e85b5a55f4d2ea23a96d3b643ba55,attempt-7e8d30b9fe014d74a2983459225b1145,99,0,0,29,0,[],,,,,,
legacy-comparison,1,1,BA,False,attempt-ff893fe67723474c9f6da20edbeec395,attempt-c8478af2e19a441baa00086d2455f5f3,99,0,0,29,0,[],,,,,,
legacy-comparison,1,2,AB,False,attempt-415f123085be4036a4720561cc6fac27,attempt-807b9d388a774011acbb04d391d1191b,99,0,0,29,0,[],,,,,,
legacy-comparison,4,0,AB,False,attempt-e998bd9edfc24cdc9d9b114042c66bdd,attempt-2b30a89a94b84ead9df92a9ac8003ab6,99,0,0,29,2,"[""r108"", ""r121""]",,,,,,
legacy-comparison,4,1,BA,False,attempt-658054606e3744f0a397f220d88b7170,attempt-2b0790a3a70c4e55b26b20fcb6176933,99,0,0,29,2,"[""r108"", ""r121""]",,,,,,
legacy-comparison,4,2,AB,False,attempt-2fd2e65f95d44d8eaece2f96086beb53,attempt-f5e310022c50421eb0c8fbaca9a8c64b,99,0,0,29,1,"[""r121""]",,,,,,
