study,attempt_id,concurrency,pair_index,arm,request_id,stratum,expected,status,finish_reason,output_text,output_token_ids,correct,prompt_tokens,generated_tokens,arrival_to_completion_s,arrival_to_first_token_s,dispatch_to_completion_s,queue_s
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r000,16,HGLEG,SUCCEEDED,eos,HGLEG,"[90111, 35213, 151645]",True,73,3,4.669922855,3.392835438,4.304204608,0.363792643
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r001,64,UOLIA,SUCCEEDED,eos,UOLIA,"[52, 1930, 5863, 151645]",True,122,4,9.286435356,7.334072489,4.606349237,4.678663902
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r002,128,FPDQG,SUCCEEDED,eos,FPDQG,"[11698, 35, 48, 38, 151645]",True,187,5,15.561858372,12.874777234,6.049201547,9.511677242
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r003,256,NNTGH,SUCCEEDED,eos,NNTGH,"[45, 6408, 44676, 151645]",True,314,4,23.823524044,21.83203263,8.212152029,15.610406268
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r004,16,YNWNI,SUCCEEDED,eos,YNWNI,"[24273, 54, 14912, 151645]",True,74,4,26.574283014,24.5962255,2.745285143,23.828003571
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r005,64,MCBXN,SUCCEEDED,eos,MCBXN,"[11604, 53878, 45, 151645]",True,123,4,31.321716474,29.353471601,4.685355255,26.635463879
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r006,128,XCIPF,SUCCEEDED,eos,XCIPF,"[37946, 3298, 37, 151645]",True,186,4,36.855138596,34.902836502,5.270356738,31.583867376
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r007,256,QIBCD,SUCCEEDED,eos,QIBCD,"[48, 3256, 6484, 151645]",True,314,4,45.620648446,43.297712107,8.760827917,36.858914192
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r008,16,GLJZY,SUCCEEDED,eos,GLJZY,"[3825, 41, 80501, 151645]",True,74,4,48.362176798,46.399424436,2.707721038,45.653017263
14b,attempt-d13e813736b24df7bb5b01a7508de0eb,1,2,candidate,r009,64,LHCLY,SUCCEEDED,eos,LHCLY,"[43, 39, 3140, 56, 151645]",True,122,5,53.965540279,51.330308861,5.346955786,48.616601843
