cell,concurrency,pair,arm,offered,original_correct,reproduction_correct,original_prompt_tokens,reproduction_prompt_tokens,original_generated_tokens,reproduction_generated_tokens,original_full_seconds,reproduction_full_seconds,full_seconds_difference,original_service_seconds,reproduction_service_seconds,original_slo_qualified,reproduction_slo_qualified,original_server_vmhwm_bytes,reproduction_server_vmhwm_bytes,original_client_interval_union_seconds,reproduction_client_interval_union_seconds,original_service_outside_client_interval_union_seconds,reproduction_service_outside_client_interval_union_seconds
quality,4,0,baseline,128,127,127,22281,22281,523,523,1102.001907745,1102.278158751,0.276251006,1083.631827213,1084.277576036,0,0,31327109120,31328649216,1082.74912826,1037.737530171,0.882698953,46.540045865
quality,4,0,candidate,128,127,127,22281,22281,523,523,277.050606249,319.622449356,42.571843107,258.324310915,301.144618963,0,0,31321767936,31329120256,257.638320501,269.459559413,0.685990414,31.68505955
quality,4,1,baseline,128,127,127,22281,22281,523,523,1103.40155585,1104.225809672,0.824253822,1084.777395479,1085.691105733,0,0,31326674944,31332225024,1078.118625715,1037.880816531,6.658769764,47.810289202
quality,4,1,candidate,128,127,127,22281,22281,523,523,286.916577237,311.474088633,24.557511396,267.753022491,293.547993745,0,0,31324135424,31332134912,267.056539817,273.453403058,0.696482674,20.094590687
candidate,1,0,baseline,128,23,23,35257,35257,545,545,259.595488736,513.759484237,254.163995501,257.60181957,511.775634747,1,1,1383596032,1383505920,222.63604087,222.76729398,34.9657787,289.008340767
candidate,1,0,candidate,128,34,34,13473,13473,550,550,131.789282664,345.089900002,213.300617338,129.261175423,342.997928922,6,2,1375109120,1370898432,93.232745887,93.399417187,36.028429536,249.598511735
candidate,1,1,baseline,128,23,23,35257,35257,545,545,264.110309985,516.879115796,252.768805811,261.757827837,514.451432839,1,1,1383596032,1383501824,226.631807722,223.933685541,35.126020115,290.517747298
candidate,1,1,candidate,128,34,34,13473,13473,550,550,131.528670226,348.438973848,216.910303622,129.257793286,346.06381627,6,2,1375092736,1370923008,92.576794734,93.788173293,36.680998552,252.275642977
systems,1,0,baseline,128,55,55,35374,35374,534,534,83.089783997,353.90184952,270.812065523,81.187302012,352.016245285,11,1,1381482496,1381482496,42.708629884,42.699737544,38.478672128,309.316507741
systems,1,0,candidate,128,63,63,11769,11769,532,532,78.247833203,344.152143757,265.904310554,76.232676974,342.121377613,14,3,1373020160,1370877952,31.329517756,31.16654091,44.903159218,310.954836703
systems,1,1,baseline,128,55,55,35374,35374,534,534,84.334565038,356.193254524,271.858689486,82.203363175,354.010516591,11,1,1381408768,1381474304,42.810519128,42.662378051,39.392844047,311.34813854
systems,1,1,candidate,128,63,63,11769,11769,532,532,76.011695537,345.644383123,269.632687586,73.949950685,343.573612253,15,3,1373143040,1373003776,30.912005164,31.807303609,43.037945521,311.766308644
