case_id,model_profile,mechanism,family,context_records,purpose,attempt_id,arm,pair_index,status,expected_requests,observed_requests,correct,accuracy,full_wall_ns,service_ns,preparation_ns,verification_ns,load_ns,recovery_ns,native_reused_tokens,native_new_tokens,generated_tokens,native_timing_request_count,native_prompt_ms_sum,native_generation_ms_sum,client_in_flight_interval_union_ns,service_outside_client_in_flight_intervals_ns,between_request_completion_and_next_dispatch_ns,e2e_p50_ns,e2e_p95_ns,e2e_max_ns,ttft_p95_ns,client_queue_p95_ns,non_success_requests,host_load_before_after,host_load_unit,sampled_aggregate_rss_bytes,server_vmhwm_bytes
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,COMPLETED,8,8,1,0.125,6129656528,4742260498,39402857,706310515,463578467,137417456,1863,361,34,8,2373.571,675.925,3112335388,1629925110,1095853084,3170640171,4737768582,4737768582,4669226814,4554889357,0,"[6.52, 7.72, 8.32, 6.4, 7.67, 8.31]",runnable_or_uninterruptible_tasks,1457696768,1389924352
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-e3062f1adbe444078edd4548b198a9e0,candidate,0,COMPLETED,8,8,4,0.5,6239864262,4821487154,44507774,701676243,452762946,134141732,491,244,32,8,1644.856,592.149,2311790797,2509696357,1986459058,2831129072,4814038176,4814038176,4751977306,4574192779,0,"[6.4, 7.67, 8.31, 6.05, 7.58, 8.27]",runnable_or_uninterruptible_tasks,1447436288,1375100928
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-45af48da75a14de98489227a2d528ccc,candidate,1,COMPLETED,8,8,4,0.5,6271708627,4795546183,52275546,720891522,457216773,137349730,491,244,32,8,1652.918,606.083,2344288839,2451257344,1932040765,2821589384,4789633332,4789633332,4730825945,4547347946,0,"[6.05, 7.58, 8.27, 5.5, 7.41, 8.21]",runnable_or_uninterruptible_tasks,1445400576,1373048832
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-fd6771027773471e953b29a541459d73,baseline,1,COMPLETED,8,8,1,0.125,6386968119,4759569270,51617851,765252031,511143730,141859640,1863,361,34,8,2474.565,716.743,3259426540,1500142730,914265734,3191737691,4753023272,4753023272,4680987264,4566700601,0,"[5.5, 7.41, 8.21, 5.62, 7.41, 8.2]",runnable_or_uninterruptible_tasks,1456947200,1383591936
d2-large-reuse24,qwen2.5-14b-instruct-fp16-v1,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-6e1d6aae3bb44acba3d2c26ce412eb3e,baseline,0,COMPLETED,8,8,3,0.375,61785654398,44728455058,40577112,14073629042,2186361067,706219830,1863,361,29,8,28809.651,14182.824,43178436244,1550018814,993590245,33090696597,44708067378,44708067378,42809927988,41741668790,0,"[2.6, 3.4, 5.13, 5.72, 4.07, 5.25]",runnable_or_uninterruptible_tasks,30171402240,30100889600
d2-large-reuse24,qwen2.5-14b-instruct-fp16-v1,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-5c47e3d568704c4baee9929ec1e79037,candidate,0,COMPLETED,8,8,1,0.125,45288720147,27647881770,42847664,14659862873,2195404493,652033492,491,244,17,8,19269.845,5709.026,25173309955,2474571815,1474781362,16572970783,27185333389,27185333389,26567699822,24655062453,0,"[5.42, 4.03, 5.23, 6.19, 4.41, 5.3]",runnable_or_uninterruptible_tasks,30131777536,30056194048
d2-large-reuse24,qwen2.5-14b-instruct-fp16-v1,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-53cedc1e12bd4444b72ec00d9834c3b3,candidate,1,COMPLETED,8,8,1,0.125,44662196811,27069423751,42834379,14617368706,2146901333,655659835,491,244,17,8,19151.856,5643.374,24962390192,2107033559,1560678302,16404174374,27056326287,27056326287,26440700914,24650007846,0,"[6.19, 4.41, 5.3, 5.6, 4.47, 5.27]",runnable_or_uninterruptible_tasks,30131642368,30056030208
d2-large-reuse24,qwen2.5-14b-instruct-fp16-v1,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,attempt-27208fbbabd54825b71bef1ce6b90514,baseline,1,COMPLETED,8,8,3,0.375,61988418076,43753053751,36526059,14698952148,2684441109,674340682,1863,361,29,8,28283.996,13439.566,41902983054,1850070697,1300995822,32069107696,43738504387,43738504387,41790869242,40719397920,0,"[5.6, 4.47, 5.27, 6.58, 4.9, 5.37]",runnable_or_uninterruptible_tasks,30169423872,30094626816
h1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,MEASUREMENT,attempt-36efaceb8d1842688115037ab1bc6551,baseline,0,COMPLETED,128,128,55,0.4296875,83089783997,81187302012,536479233,699499099,450424771,139729835,30668,4706,534,128,31238.794,10430.314,42708629884,38478672128,37772706685,41082327207,78200719451,81182631477,78106499524,77993405659,0,"[1.43, 6.59, 10.99, 2.1, 5.6, 10.28]",runnable_or_uninterruptible_tasks,1460277248,1381482496
h1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,MEASUREMENT,attempt-ff6938a7a7ae4dd0936f03029d240865,candidate,0,COMPLETED,128,128,63,0.4921875,78247833203,76232676974,533670290,720216032,451325405,140137594,8899,2870,532,128,20470.863,9926.347,31329517756,44903159218,44186970584,40130903290,72480500978,76227228111,72415936146,72243124863,0,"[2.1, 5.6, 10.28, 2.23, 4.75, 9.59]",runnable_or_uninterruptible_tasks,1452961792,1373020160
h1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,MEASUREMENT,attempt-e6b2a2da5032458ab5d5bc5c381b73b6,candidate,1,COMPLETED,128,128,63,0.4921875,76011695537,73949950685,524395483,714686901,451375659,138789276,8899,2870,532,128,20022.851,9922.517,30912005164,43037945521,41608855385,36099802339,69428892839,73230179709,69370241593,69189419424,0,"[2.23, 4.75, 9.59, 1.48, 3.96, 8.93]",runnable_or_uninterruptible_tasks,1455054848,1373143040
h1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,MEASUREMENT,attempt-988b01866edb4d97823bbbc018615c4e,baseline,1,COMPLETED,128,128,55,0.4296875,84334565038,82203363175,531475088,699750396,450492317,138666098,30668,4706,534,128,31352.283,10408.395,42810519128,39392844047,38687347035,42113655952,79214475588,82197063691,79120107785,79007741564,0,"[1.44, 3.91, 8.89, 2.76, 3.74, 8.42]",runnable_or_uninterruptible_tasks,1463312384,1381408768
h2-small-reuse64,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,64,MEASUREMENT,attempt-e7072fefa98948e4b6ec6d72814577fc,baseline,0,COMPLETED,128,128,47,0.3671875,131338584682,129368275108,575518269,723936391,448645843,138124772,66321,9790,551,128,63696.005,11204.354,75950608048,53417667060,52642860483,64405850263,125358488200,129362442802,125287937156,125172143892,0,"[1.63, 2.61, 6.55, 1.84, 2.37, 5.95]",runnable_or_uninterruptible_tasks,1481973760,1398902784
h2-small-reuse64,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,64,MEASUREMENT,attempt-f5f5447674694fe1ba6b42939561dbcc,candidate,0,COMPLETED,128,128,57,0.4453125,135205554411,133162071230,527448671,715751090,451275353,145603905,8901,2859,535,128,20136.443,10173.412,43788805665,89373265565,87985187536,73211071830,126391338303,132536869813,126325976328,126150527155,0,"[1.84, 2.37, 5.95, 3.05, 2.73, 5.59]",runnable_or_uninterruptible_tasks,1454813184,1372979200
