case_id,pair_index,concurrency,table_index,table_sha256,offered_tasks,both_correct,baseline_only_correct,candidate_only_correct,both_wrong,observed_either_answer_correct,changed_output_token_sequences,baseline_observed_requests,baseline_correct,baseline_first_use_native_new_tokens,baseline_subsequent_native_new_tokens,baseline_all_native_new_tokens,baseline_generated_tokens,candidate_observed_requests,candidate_correct,candidate_first_use_native_new_tokens,candidate_subsequent_native_new_tokens,candidate_all_native_new_tokens,candidate_generated_tokens
d1-small-reuse24,0,1,0,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,8,1,0,3,4,4,6,8,1,278,83,361,34,8,4,92,152,244,32
d1-small-reuse24,1,1,0,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,8,1,0,3,4,4,6,8,1,278,83,361,34,8,4,92,152,244,32
d2-large-reuse24,0,1,0,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,8,0,3,1,4,4,8,8,3,278,83,361,29,8,1,92,152,244,17
d2-large-reuse24,1,1,0,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,8,0,3,1,4,4,8,8,3,278,83,361,29,8,1,92,152,244,17
h1-small-reuse24,0,1,0,e2bbcf7fdcde8b11629d90c05f4882448617accadbe671b62961f35e85473931,8,1,2,2,3,5,7,8,3,278,84,362,33,8,3,92,155,247,31
h1-small-reuse24,0,1,1,5a1ee5278b6015963dfae3285b51acf7892b79a0d9029eedd2291b9ef4f8aa2d,8,5,0,2,1,7,3,8,5,206,84,290,31,8,7,22,153,175,31
h1-small-reuse24,0,1,2,4b2234251b56f044b6c9d6572412a4f70ddf4d9d40746b2f7ff5b754c458c9a3,8,3,1,1,3,5,5,8,4,202,84,286,34,8,4,22,155,177,34
h1-small-reuse24,0,1,3,de7452659b7303feb075caac1c0e06e99c3f8c11f8563dcadf86a93adf7e608d,8,0,2,3,3,5,7,8,2,211,86,297,34,8,3,22,159,181,37
h1-small-reuse24,0,1,4,465aba40aeff43f68e362d37f102e2178ab71d65fb90a666b41011b524868280,8,0,2,1,5,3,8,8,2,206,82,288,33,8,1,21,152,173,32
h1-small-reuse24,0,1,5,ce6da994793097e8265f857fad5e4e835b9ff468e4bbf067e735e140b309694e,8,4,0,1,3,5,4,8,4,200,83,283,33,8,5,20,150,170,32
